EmployeeID,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroups,IncomeGroups,YearsAtCompanyGroups
11,2,3,3,4,3,45,False,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0,13,2,21.0,2,20,4,10,"(40.0, 50.0]","(75000.0, 100000.0]","(15.0, 20.0]"
13,3,3,4,1,3,55,False,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0,17,0,37.0,2,36,4,13,"(50.0, 60.0]","(50000.0, 75000.0]","(30.0, 40.0]"
14,2,3,1,2,2,47,True,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1,11,2,10.0,4,10,9,9,"(40.0, 50.0]","(50000.0, 75000.0]","(5.0, 10.0]"
15,3,3,4,4,2,28,False,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1,14,0,5.0,2,5,0,4,"(25.0, 30.0]","(25000.0, 50000.0]","(2.0, 5.0]"
16,3,3,3,4,4,37,False,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4,11,0,7.0,2,5,0,1,"(30.0, 40.0]","(50000.0, 75000.0]","(2.0, 5.0]"
17,2,3,4,3,4,21,False,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1,12,3,3.0,3,3,1,0,"(17.999, 25.0]","(25000.0, 50000.0]","(2.0, 5.0]"
18,3,3,1,4,3,37,False,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2,13,1,15.0,2,5,0,2,"(30.0, 40.0]","(25000.0, 50000.0]","(2.0, 5.0]"
19,2,3,2,2,2,35,False,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7,16,0,10.0,5,7,6,2,"(30.0, 40.0]","(10000.0, 25000.0]","(5.0, 10.0]"
20,3,3,1,1,3,38,False,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1,11,1,8.0,5,8,7,7,"(30.0, 40.0]","(50000.0, 75000.0]","(5.0, 10.0]"
21,3,3,3,2,1,26,False,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1,18,0,6.0,3,6,1,4,"(25.0, 30.0]","(100000.0, 125000.0]","(5.0, 10.0]"
22,2,4,1,2,2,50,False,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3,23,0,28.0,2,10,1,6,"(40.0, 50.0]","(75000.0, 100000.0]","(5.0, 10.0]"
23,3,3,3,3,2,53,False,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3,11,0,21.0,2,5,1,3,"(50.0, 60.0]","(10000.0, 25000.0]","(2.0, 5.0]"
25,3,3,2,4,2,29,False,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1,11,1,10.0,2,10,0,9,"(25.0, 30.0]","(50000.0, 75000.0]","(5.0, 10.0]"
26,3,3,2,4,3,55,False,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3,11,0,12.0,2,10,0,8,"(50.0, 60.0]","(50000.0, 75000.0]","(5.0, 10.0]"
27,3,4,1,1,3,26,False,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1,22,0,5.0,3,5,3,3,"(25.0, 30.0]","(150000.0, 175000.0]","(2.0, 5.0]"
28,3,3,4,4,3,37,False,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1,11,0,17.0,2,17,5,7,"(30.0, 40.0]","(25000.0, 50000.0]","(15.0, 20.0]"
29,2,3,4,3,1,44,True,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3,14,1,19.0,2,1,0,0,"(40.0, 50.0]","(100000.0, 125000.0]","(-1.0, 2.0]"
30,2,3,4,4,3,38,False,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9,12,0,10.0,3,2,1,2,"(30.0, 40.0]","(25000.0, 50000.0]","(-1.0, 2.0]"
31,2,3,1,2,3,26,True,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2,11,0,5.0,5,3,0,2,"(25.0, 30.0]","(50000.0, 75000.0]","(2.0, 5.0]"
32,2,3,4,4,3,28,False,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1,13,0,5.0,6,5,0,2,"(25.0, 30.0]","(75000.0, 100000.0]","(2.0, 5.0]"
33,3,3,3,1,3,49,False,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9,13,0,22.0,2,3,1,2,"(40.0, 50.0]","(25000.0, 50000.0]","(2.0, 5.0]"
34,3,3,3,2,3,36,False,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4,14,0,10.0,2,8,7,7,"(30.0, 40.0]","(50000.0, 75000.0]","(5.0, 10.0]"
35,3,3,4,2,2,31,False,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1,16,1,2.0,4,2,2,2,"(30.0, 40.0]","(25000.0, 50000.0]","(-1.0, 2.0]"
36,3,3,4,4,3,26,True,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1,12,2,8.0,5,8,7,4,"(25.0, 30.0]","(150000.0, 175000.0]","(5.0, 10.0]"
37,3,3,2,4,2,37,False,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1,14,0,4.0,3,4,1,2,"(30.0, 40.0]","(10000.0, 25000.0]","(2.0, 5.0]"
38,3,3,3,2,4,42,False,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5,13,0,23.0,2,20,4,8,"(40.0, 50.0]","(25000.0, 50000.0]","(15.0, 20.0]"
39,2,3,3,3,3,18,True,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1,14,2,0.0,3,0,0,0,"(17.999, 25.0]","(10000.0, 25000.0]","(-1.0, 2.0]"
40,2,3,3,2,2,35,False,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0,19,0,12.0,2,11,6,9,"(30.0, 40.0]","(50000.0, 75000.0]","(10.0, 15.0]"
42,2,3,4,2,3,51,False,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5,13,0,13.0,2,4,1,2,"(50.0, 60.0]","(50000.0, 75000.0]","(2.0, 5.0]"
43,3,3,4,2,3,41,False,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1,12,0,22.0,6,22,0,4,"(40.0, 50.0]","(10000.0, 25000.0]","(20.0, 30.0]"
44,3,3,4,3,3,18,False,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1,15,0,0.0,3,0,0,0,"(17.999, 25.0]","(25000.0, 50000.0]","(-1.0, 2.0]"
45,2,4,2,1,3,28,False,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0,23,2,9.0,2,8,0,7,"(25.0, 30.0]","(25000.0, 50000.0]","(5.0, 10.0]"
46,3,3,2,4,2,31,False,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4,12,1,10.0,2,8,7,7,"(30.0, 40.0]","(25000.0, 50000.0]","(5.0, 10.0]"
47,3,4,3,4,2,39,False,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0,20,0,19.0,3,18,3,7,"(30.0, 40.0]","(10000.0, 25000.0]","(15.0, 20.0]"
48,3,4,2,2,3,36,False,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7,21,0,11.0,4,9,0,8,"(30.0, 40.0]","(75000.0, 100000.0]","(5.0, 10.0]"
49,3,4,4,3,2,32,False,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1,21,1,13.0,4,13,4,8,"(30.0, 40.0]","(25000.0, 50000.0]","(10.0, 15.0]"
50,2,3,1,2,3,38,False,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3,19,2,19.0,4,10,0,1,"(30.0, 40.0]","(50000.0, 75000.0]","(5.0, 10.0]"
51,2,3,4,3,3,58,False,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2,13,2,12.0,3,5,1,2,"(50.0, 60.0]","(25000.0, 50000.0]","(2.0, 5.0]"
52,2,3,3,4,3,31,False,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0,13,1,6.0,3,5,0,3,"(30.0, 40.0]","(75000.0, 100000.0]","(2.0, 5.0]"
53,3,4,1,1,3,31,False,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3,21,1,9.0,2,2,1,0,"(30.0, 40.0]","(125000.0, 150000.0]","(-1.0, 2.0]"
54,3,3,1,1,3,45,False,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1,13,0,24.0,6,24,9,11,"(40.0, 50.0]","(25000.0, 50000.0]","(20.0, 30.0]"
55,3,3,3,4,1,31,False,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0,19,2,3.0,0,2,2,2,"(30.0, 40.0]","(25000.0, 50000.0]","(-1.0, 2.0]"
56,3,3,4,2,3,33,False,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6,12,1,12.0,3,10,8,8,"(30.0, 40.0]","(175000.0, 200000.0]","(5.0, 10.0]"
57,3,4,3,1,3,39,False,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1,22,1,21.0,6,21,11,10,"(30.0, 40.0]","(175000.0, 200000.0]","(20.0, 30.0]"
58,3,3,3,4,3,43,False,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0,15,0,9.0,2,8,1,7,"(40.0, 50.0]","(10000.0, 25000.0]","(5.0, 10.0]"
59,3,4,3,3,3,49,False,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7,22,0,25.0,2,7,0,7,"(40.0, 50.0]","(50000.0, 75000.0]","(5.0, 10.0]"
60,3,3,3,2,2,52,True,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2,18,1,11.0,2,8,7,7,"(50.0, 60.0]","(25000.0, 50000.0]","(5.0, 10.0]"
61,3,4,3,2,2,27,False,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1,22,0,4.0,2,4,1,2,"(25.0, 30.0]","(25000.0, 50000.0]","(2.0, 5.0]"
62,4,3,3,2,3,32,False,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1,11,1,13.0,6,13,11,9,"(30.0, 40.0]","(25000.0, 50000.0]","(10.0, 15.0]"
63,4,3,4,3,3,27,False,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1,12,2,5.0,5,5,0,4,"(25.0, 30.0]","(25000.0, 50000.0]","(2.0, 5.0]"
64,4,3,4,4,3,31,False,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4,11,3,13.0,4,7,1,7,"(30.0, 40.0]","(10000.0, 25000.0]","(5.0, 10.0]"
65,3,3,1,4,2,32,False,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7,13,0,10.0,2,7,0,7,"(30.0, 40.0]","(10000.0, 25000.0]","(5.0, 10.0]"
66,2,3,1,4,2,28,True,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5,14,1,5.0,4,3,2,2,"(25.0, 30.0]","(50000.0, 75000.0]","(2.0, 5.0]"
67,3,3,4,4,3,30,False,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1,13,0,11.0,3,10,1,9,"(25.0, 30.0]","(25000.0, 50000.0]","(5.0, 10.0]"
68,2,3,3,3,3,31,False,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1,17,0,10.0,5,10,8,9,"(30.0, 40.0]","(75000.0, 100000.0]","(5.0, 10.0]"
69,3,3,3,4,3,39,False,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1,13,0,21.0,4,21,13,3,"(30.0, 40.0]","(10000.0, 25000.0]","(20.0, 30.0]"
70,3,3,4,3,2,39,True,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4,17,1,12.0,0,1,0,0,"(30.0, 40.0]","(25000.0, 50000.0]","(-1.0, 2.0]"
71,3,3,2,4,2,33,False,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3,11,1,9.0,0,7,0,1,"(30.0, 40.0]","(25000.0, 50000.0]","(5.0, 10.0]"
72,4,4,4,3,3,47,False,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4,23,0,21.0,4,3,1,1,"(40.0, 50.0]","(50000.0, 75000.0]","(2.0, 5.0]"
73,3,3,3,3,4,43,False,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1,17,2,9.0,2,9,0,0,"(40.0, 50.0]","(25000.0, 50000.0]","(5.0, 10.0]"
74,3,3,3,2,3,27,False,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0,17,0,6.0,3,5,1,4,"(25.0, 30.0]","(150000.0, 175000.0]","(2.0, 5.0]"
75,3,3,4,3,2,54,False,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3,12,2,20.0,2,4,0,3,"(50.0, 60.0]","(25000.0, 50000.0]","(2.0, 5.0]"
76,3,4,3,1,2,43,False,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8,23,0,10.0,3,1,0,0,"(40.0, 50.0]","(50000.0, 75000.0]","(-1.0, 2.0]"
77,3,3,4,4,3,45,False,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9,14,1,12.0,6,10,9,8,"(40.0, 50.0]","(150000.0, 175000.0]","(5.0, 10.0]"
78,3,3,2,4,2,40,False,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2,14,2,6.0,6,4,0,2,"(30.0, 40.0]","(50000.0, 75000.0]","(2.0, 5.0]"
79,3,3,2,1,2,29,True,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1,13,1,7.0,0,7,0,7,"(25.0, 30.0]","(10000.0, 25000.0]","(5.0, 10.0]"
80,3,4,2,4,3,29,False,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0,22,2,4.0,3,3,2,2,"(25.0, 30.0]","(25000.0, 50000.0]","(2.0, 5.0]"
81,2,3,4,3,3,30,False,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1,12,2,10.0,2,10,1,2,"(25.0, 30.0]","(50000.0, 75000.0]","(5.0, 10.0]"
82,2,3,2,2,3,27,False,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1,18,1,8.0,2,8,0,7,"(25.0, 30.0]","(25000.0, 50000.0]","(5.0, 10.0]"
83,3,3,4,4,2,37,False,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7,14,0,8.0,4,6,0,4,"(30.0, 40.0]","(125000.0, 150000.0]","(5.0, 10.0]"
84,3,3,3,4,3,38,False,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0,12,0,12.0,1,11,2,9,"(30.0, 40.0]","(50000.0, 75000.0]","(10.0, 15.0]"
86,3,3,4,2,3,29,False,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1,11,0,7.0,0,7,1,7,"(25.0, 30.0]","(25000.0, 50000.0]","(5.0, 10.0]"
87,4,3,3,2,3,35,False,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0,13,1,17.0,3,16,0,13,"(30.0, 40.0]","(25000.0, 50000.0]","(15.0, 20.0]"
88,2,4,3,4,2,23,False,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1,23,0,4.0,2,4,0,2,"(17.999, 25.0]","(50000.0, 75000.0]","(2.0, 5.0]"
89,3,3,4,2,3,41,False,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6,19,2,8.0,0,5,1,2,"(40.0, 50.0]","(50000.0, 75000.0]","(2.0, 5.0]"
90,4,3,2,3,3,47,False,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3,16,1,5.0,2,0,0,0,"(40.0, 50.0]","(50000.0, 75000.0]","(-1.0, 2.0]"
91,1,4,1,4,3,42,False,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2,22,0,16.0,0,1,0,0,"(40.0, 50.0]","(10000.0, 25000.0]","(-1.0, 2.0]"
92,2,4,4,3,2,29,False,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1,22,0,4.0,1,4,0,2,"(25.0, 30.0]","(50000.0, 75000.0]","(2.0, 5.0]"
93,2,3,3,3,3,42,False,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0,12,1,4.0,3,3,1,0,"(40.0, 50.0]","(10000.0, 25000.0]","(2.0, 5.0]"
94,3,3,3,2,3,32,False,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1,13,0,8.0,0,8,0,7,"(30.0, 40.0]","(50000.0, 75000.0]","(5.0, 10.0]"
95,2,3,1,3,1,48,False,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3,16,1,15.0,2,0,0,0,"(40.0, 50.0]","(75000.0, 100000.0]","(-1.0, 2.0]"
96,3,3,3,1,3,37,False,Travel_Rarely,Research & Development,8,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4,12,0,13.0,2,7,6,7,"(30.0, 40.0]","(50000.0, 75000.0]","(5.0, 10.0]"
97,3,4,4,3,4,30,False,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7,21,1,4.0,0,2,2,2,"(25.0, 30.0]","(50000.0, 75000.0]","(-1.0, 2.0]"
98,3,3,3,3,3,26,False,Travel_Rarely,Sales,28,3,Medical,Female,5,Laboratory Technician,Married,51510,1,15,3,8.0,3,8,7,7,"(25.0, 30.0]","(50000.0, 75000.0]","(5.0, 10.0]"
99,3,3,1,4,3,42,False,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3,13,2,14.0,2,1,0,0,"(40.0, 50.0]","(10000.0, 25000.0]","(-1.0, 2.0]"
100,2,3,1,2,3,21,True,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1,12,0,3.0,5,3,1,2,"(17.999, 25.0]","(175000.0, 200000.0]","(2.0, 5.0]"
101,1,4,4,4,3,36,False,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4,22,0,7.0,4,1,0,0,"(30.0, 40.0]","(10000.0, 25000.0]","(-1.0, 2.0]"
102,3,3,1,4,3,36,False,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4,13,1,16.0,2,13,1,12,"(30.0, 40.0]","(25000.0, 50000.0]","(10.0, 15.0]"
103,1,3,4,3,3,57,False,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2,18,0,15.0,2,3,1,2,"(50.0, 60.0]","(175000.0, 200000.0]","(2.0, 5.0]"
104,3,3,4,3,3,40,False,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3,14,1,10.0,3,7,1,7,"(30.0, 40.0]","(50000.0, 75000.0]","(5.0, 10.0]"
105,1,3,1,4,2,21,False,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1,14,0,3.0,2,3,2,2,"(17.999, 25.0]","(25000.0, 50000.0]","(2.0, 5.0]"
106,1,4,4,3,3,33,True,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1,21,1,1.0,3,1,0,0,"(30.0, 40.0]","(50000.0, 75000.0]","(-1.0, 2.0]"
107,4,3,3,1,3,37,False,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6,19,0,17.0,3,5,0,3,"(30.0, 40.0]","(10000.0, 25000.0]","(2.0, 5.0]"
108,3,3,3,3,4,46,False,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2,11,0,7.0,3,1,0,0,"(40.0, 50.0]","(25000.0, 50000.0]","(-1.0, 2.0]"
109,4,3,1,2,3,41,True,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1,11,0,8.0,3,8,7,7,"(40.0, 50.0]","(25000.0, 50000.0]","(5.0, 10.0]"
110,3,3,4,4,3,50,False,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6,15,0,20.0,2,4,1,3,"(40.0, 50.0]","(75000.0, 100000.0]","(2.0, 5.0]"
111,2,4,3,3,3,40,True,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2,20,0,8.0,2,6,1,0,"(30.0, 40.0]","(75000.0, 100000.0]","(5.0, 10.0]"
113,3,3,3,2,3,21,True,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1,12,1,1.0,2,1,0,0,"(17.999, 25.0]","(50000.0, 75000.0]","(-1.0, 2.0]"
114,4,3,4,4,3,29,False,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9,12,1,6.0,6,3,1,2,"(25.0, 30.0]","(50000.0, 75000.0]","(2.0, 5.0]"
115,3,3,3,2,3,35,False,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9,15,0,10.0,2,1,0,0,"(30.0, 40.0]","(50000.0, 75000.0]","(-1.0, 2.0]"
117,2,3,2,4,3,28,False,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1,12,0,7.0,2,7,0,7,"(25.0, 30.0]","(25000.0, 50000.0]","(5.0, 10.0]"
118,3,3,2,3,3,49,False,Travel_Rarely,Sales,2,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8,14,1,26.0,3,5,0,0,"(40.0, 50.0]","(50000.0, 75000.0]","(2.0, 5.0]"
119,3,4,3,4,2,51,False,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4,22,1,18.0,2,7,0,7,"(50.0, 60.0]","(25000.0, 50000.0]","(5.0, 10.0]"
120,3,3,4,3,3,36,False,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4,12,0,6.0,1,2,2,2,"(30.0, 40.0]","(75000.0, 100000.0]","(-1.0, 2.0]"
121,3,4,1,4,2,34,True,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8,25,1,9.0,3,5,0,4,"(30.0, 40.0]","(50000.0, 75000.0]","(2.0, 5.0]"
122,3,3,3,4,3,55,False,Travel_Rarely,Sales,26,3,Marketing,Male,1,Laboratory Technician,Single,104480,2,13,0,30.0,3,5,1,2,"(50.0, 60.0]","(100000.0, 125000.0]","(2.0, 5.0]"
123,3,3,4,3,4,24,False,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1,18,3,5.0,4,5,0,3,"(17.999, 25.0]","(25000.0, 50000.0]","(2.0, 5.0]"
124,3,3,3,2,3,30,False,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1,13,0,1.0,3,1,0,0,"(25.0, 30.0]","(50000.0, 75000.0]","(-1.0, 2.0]"
126,2,3,1,2,3,22,False,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1,19,2,2.0,3,2,1,2,"(17.999, 25.0]","(25000.0, 50000.0]","(-1.0, 2.0]"
